model,interval0
Bush-Mosteller-Wynne95,0.5153277982382608
SubjectPerformance,0.7902213412619755
DeSoto-1965,1.0
RL_ELO-Kumaran2016,0.978651222112178
RL_ELO_F-Kumaran2016,0.9684646197199283
RandomModel,0.5
RescorlaWagner-Kumaran2016,0.488267250201381
RescorlaWagner-Wynne95,0.5059040419875968
SCT-McIlvane2003,0.4948794185662372
SCTinterpr-McIlvane2003,0.6346217376940866
SiemannDelius-Guez2013,0.9609665332059343
Trabasso-Riley74,0.9171878409158007
VTT-Kumaran2016,0.4824458053242018
configuralCues-Wynne95,0.603268888904404
