model,interval0
Bush-Mosteller-Wynne95,0.48716646673115693
SubjectPerformance,0.7902213412619755
DeSoto-1965,1.0
RL_ELO-Kumaran2016,0.9790172883785693
RL_ELO_F-Kumaran2016,0.9614821873446799
RandomModel,0.5
RescorlaWagner-Kumaran2016,0.48396517953752555
RescorlaWagner-Wynne95,0.4763565039779184
SCT-McIlvane2003,0.5724039202730977
SCTinterpr-McIlvane2003,0.551481114414712
SiemannDelius-Guez2013,0.9654560476073449
Trabasso-Riley74,0.9155521383338406
VTT-Kumaran2016,0.4981339991914326
configuralCues-Wynne95,0.5129706209632235
