"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","bMinus","Db","h","b","B","bPlus","e","s","t","y","<NA>","species"
"1","WaspsNew","D139",TRUE,"SiemannDelius",0.551368592414519,FALSE,NA,1.6476633023796,NA,NA,NA,NA,1.61597149165233,0.350182130185452,NA,NA,NA,NA,"Wasp"
"2","WaspsNew","D187",TRUE,"SiemannDelius",0.680120222689611,FALSE,NA,1.76390004663384,NA,NA,NA,NA,0.005890968207569,1.48951179199995,NA,NA,NA,NA,"Wasp"
"3","WaspsNew","D201",TRUE,"SiemannDelius",0.562524212290746,FALSE,NA,1.67093407964231,NA,NA,NA,NA,1.67187798809152,-0.592073944981118,NA,NA,NA,NA,"Wasp"
"4","WaspsNew","D216",TRUE,"SiemannDelius",0.651471335098649,FALSE,NA,0.20850495060621,NA,NA,NA,NA,-1.32732092237112,0.919633136010458,NA,NA,NA,NA,"Wasp"
"5","WaspsNew","D217",TRUE,"SiemannDelius",0.662419281492989,FALSE,NA,2.62860161556073,NA,NA,NA,NA,1.97934228638347,3.17568903784562,NA,NA,NA,NA,"Wasp"
"6","WaspsNew","D223",TRUE,"SiemannDelius",0.554945853434411,FALSE,NA,1.44942424167415,NA,NA,NA,NA,1.22133322333325,0.594285680650147,NA,NA,NA,NA,"Wasp"
"7","HumScrm","1",TRUE,"SiemannDelius",0.666259220259932,FALSE,NA,0.26880188247338,NA,NA,NA,NA,0.335905398257961,0.429671547552664,NA,NA,NA,NA,"Human"
"8","WaspsNew","D229",TRUE,"SiemannDelius",0.50682075972669,FALSE,NA,2.40609153646217,NA,NA,NA,NA,1.16962272984133,-0.537090926750684,NA,NA,NA,NA,"Wasp"
"9","WaspsNew","D239B",TRUE,"SiemannDelius",0.587370788107645,FALSE,NA,3.09943419562105,NA,NA,NA,NA,2.34915419515576,-0.352056352687379,NA,NA,NA,NA,"Wasp"
"10","WaspsNew","D257",TRUE,"SiemannDelius",0.488599723602265,FALSE,NA,1.03280785565866,NA,NA,NA,NA,1.53432506823817,0.406757676876739,NA,NA,NA,NA,"Wasp"
"11","WaspsNew","D67A",TRUE,"SiemannDelius",0.624699797491733,FALSE,NA,1.66636779422758,NA,NA,NA,NA,1.62365523212822,0.356664545589419,NA,NA,NA,NA,"Wasp"
"12","WaspsNew","D81B",TRUE,"SiemannDelius",0.687431532772567,FALSE,NA,2.80519796012066,NA,NA,NA,NA,1.97610557431772,2.56702500303076,NA,NA,NA,NA,"Wasp"
"13","HumScrm","2",TRUE,"SiemannDelius",0.622732533851101,FALSE,NA,1.10068428971372,NA,NA,NA,NA,0.349604824401651,0.36644548620888,NA,NA,NA,NA,"Human"
