"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b","s"
"1","WaspsNew","D139",TRUE,"RLELO_F",0.572154096594109,FALSE,1.5,0.5,0.5
"2","WaspsNew","D187",TRUE,"RLELO_F",0.507942691566357,FALSE,1.63834726085363,-0.019696946462451,0.166539224722442
"3","WaspsNew","D201",TRUE,"RLELO_F",0.583083514930572,FALSE,0.5,0.5,0.5
"4","WaspsNew","D216",TRUE,"RLELO_F",0.587057382968877,FALSE,0.48628102404821,0.502257322243421,1.44749957985591
"5","WaspsNew","D217",TRUE,"RLELO_F",0.681423598792014,FALSE,1.03206134799732,1.54193541589847,1.6710989154125
"6","WaspsNew","D223",TRUE,"RLELO_F",0.554731676561562,FALSE,1.26248962351361,0.473740228850599,0.471402920587139
"7","WaspsNew","D229",TRUE,"RLELO_F",0.507952137850582,FALSE,1.5,0.5,0.5
"8","WaspsNew","D239B",TRUE,"RLELO_F",0.520047358935282,FALSE,0.260690091571795,-0.097735277622269,-0.383802875368822
"9","WaspsNew","D257",TRUE,"RLELO_F",0.502995262276707,FALSE,1.45380828126068,-0.020973622577453,-0.129562933286538
"10","WaspsNew","D67A",TRUE,"RLELO_F",0.642257045273457,FALSE,1.51623241043819,0.588793204085848,0.733135745349217
"11","WaspsNew","D81B",TRUE,"RLELO_F",0.712628259697074,FALSE,1.5,1.5,0.5
"12","WaspsNew","D92B",TRUE,"RLELO_F",0.577746486042928,FALSE,1.84645660279784,1.400924304651,1.61146028097242
"13","WaspsNew","D122",TRUE,"RLELO_F",0.460354726912352,FALSE,0.913808070766618,1.48861633315484,0.882964779871385
"14","WaspsNew","D133",TRUE,"RLELO_F",0.476377051673606,FALSE,0.479893234482977,1.59622266884647,0.422786555701058
"15","WaspsNew","D140",TRUE,"RLELO_F",0.747240699319511,FALSE,0.5,0.5,1.5
"16","WaspsNew","D149",TRUE,"RLELO_F",0.364616592977933,FALSE,1.74712796142499,1.49963756276422,0.462283436162998
"17","WaspsNew","D15",TRUE,"RLELO_F",0.657283565410064,FALSE,0.498728233082239,0.496374923941129,1.50070726341401
"18","WaspsNew","D22",TRUE,"RLELO_F",0.531364321519459,FALSE,1.43228024169668,-0.059976382374479,0.149264987122093
"19","WaspsNew","D43",TRUE,"RLELO_F",0.719690848422676,FALSE,0.429950547609066,-0.41883529070867,0.617897336746677
"20","WaspsNew","D45",TRUE,"RLELO_F",0.721398213482875,FALSE,0.414725876144226,0.6280568579537,0.75738250609681
"21","WaspsNew","D50",TRUE,"RLELO_F",0.635470467402359,FALSE,-0.284599067594785,-0.684461506797635,-0.626742933701709
"22","WaspsNew","D55",TRUE,"RLELO_F",0.618432485312133,FALSE,-0.160075239009249,0.335156900536209,-0.305550064676079
"23","WaspsNew","D71",TRUE,"RLELO_F",0.794221101390786,FALSE,0.424025889771074,0.413206739679906,1.72179915360057
"24","WaspsNew","M17",TRUE,"RLELO_F",0.697839611323678,FALSE,0.503581071004572,1.49308355432345,1.49938855424315
"25","WaspsNew","M21",TRUE,"RLELO_F",0.691345240758947,FALSE,1.5,1.5,0.5
"26","WaspsNew","M22",TRUE,"RLELO_F",0.61208836807214,FALSE,0.987238986908499,1.0523615990559,1.69730917267868
"27","WaspsNew","M23",TRUE,"RLELO_F",0.655684280901751,FALSE,1.5,0.5,1.5
"28","WaspsNew","M28B",TRUE,"RLELO_F",0.534626147488784,FALSE,0.032816606776191,0.263509791395235,-0.310455269004158
"29","WaspsNew","M29",TRUE,"RLELO_F",0.50422421297317,FALSE,1.81232897699538,-0.049307797878019,0.395746632506409
"30","WaspsNew","M31A",TRUE,"RLELO_F",0.622986393695362,FALSE,1.5,1.5,0.5
