"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a"
"1","WaspsNew","D139",TRUE,"SCT",0.625,FALSE,1.5001
"2","WaspsNew","D187",TRUE,"SCT",0.525,FALSE,-2.5
"3","WaspsNew","D201",TRUE,"SCT",0.55,FALSE,-0.0624
"4","WaspsNew","D216",TRUE,"SCT",0.55,FALSE,-1e-04
"5","WaspsNew","D217",TRUE,"SCT",0.6375,FALSE,1.0001
"6","WaspsNew","D223",TRUE,"SCT",0.6125,FALSE,0.5001
"7","WaspsNew","D229",TRUE,"SCT",0.4125,FALSE,0.4999
"8","WaspsNew","D239B",TRUE,"SCT",0.575,FALSE,0.4999
"9","WaspsNew","D257",TRUE,"SCT",0.6375,FALSE,2.49619375
"10","WaspsNew","D67A",TRUE,"SCT",0.725,FALSE,0.5001
"11","WaspsNew","D81B",TRUE,"SCT",0.7,FALSE,0.562355859375
"12","WaspsNew","D92B",TRUE,"SCT",0.55,FALSE,1.9999
"13","WaspsNew","D122",TRUE,"SCT",0.425,FALSE,0.73818125
"14","WaspsNew","D133",TRUE,"SCT",0.55,FALSE,0.4375
"15","WaspsNew","D140",TRUE,"SCT",0.5375,FALSE,1.4999
"16","WaspsNew","D149",TRUE,"SCT",0.4125,FALSE,1.000144140625
"17","WaspsNew","D15",TRUE,"SCT",0.45,FALSE,-0.375
"18","WaspsNew","D22",TRUE,"SCT",0.475,FALSE,0.4991234375
"19","WaspsNew","D43",TRUE,"SCT",0.3,FALSE,0.4998
"20","WaspsNew","D45",TRUE,"SCT",0.45,FALSE,1.50058828125
"21","WaspsNew","D50",TRUE,"SCT",0.575,FALSE,-0.4999
"22","WaspsNew","D55",TRUE,"SCT",0.325,FALSE,0.4376
"23","WaspsNew","D71",TRUE,"SCT",0.525,FALSE,0.4991234375
"24","WaspsNew","M17",TRUE,"SCT",0.4375,FALSE,0.50058828125
"25","WaspsNew","M21",TRUE,"SCT",0.75,FALSE,2.3751
"26","WaspsNew","M22",TRUE,"SCT",0.5625,FALSE,3.5001
"27","WaspsNew","M23",TRUE,"SCT",0.725,FALSE,3.4999
"28","WaspsNew","M28B",TRUE,"SCT",0.575,FALSE,0.4921875
"29","WaspsNew","M29",TRUE,"SCT",0.5,FALSE,0.4376
"30","WaspsNew","M31A",TRUE,"SCT",0.575,FALSE,2.4999
"31","WaspsNew","M10A",TRUE,"SCT",0.3375,FALSE,1.484475
"32","WaspsNew","M10B",TRUE,"SCT",0.4875,FALSE,2.0001
"33","WaspsNew","M11",TRUE,"SCT",0.4625,FALSE,0.7499
"34","WaspsNew","M24",TRUE,"SCT",0.3875,FALSE,0.468605859375
"35","WaspsNew","M32A",TRUE,"SCT",0.45,FALSE,1.4999
"36","WaspsNew","M32C",TRUE,"SCT",0.2625,FALSE,0.4999
"37","WaspsNew","M4",TRUE,"SCT",0.475,FALSE,2.4999
"38","WaspsNew","M6",TRUE,"SCT",0.2875,FALSE,0.4452125
"39","WaspsNew","M7",TRUE,"SCT",0.4125,FALSE,3.5001
"40","WaspsNew","M9",TRUE,"SCT",0.4875,FALSE,2.49941171875
"41","RGMDL3","1",TRUE,"SCT",0.621353691886964,FALSE,0.5001
"42","RGMDL3","2",TRUE,"SCT",0.506150506512301,FALSE,1.53135
"43","RGMDL3","3",TRUE,"SCT",0.539947322212467,FALSE,-0.2508765625
"44","RGMDL3","4",TRUE,"SCT",0.585485714285714,FALSE,1.18339375
"45","Camarena","1",TRUE,"SCT",0.581787521079258,FALSE,0.49375234375
"46","Camarena","4",TRUE,"SCT",0.506669282071401,FALSE,2.0001
"47","Camarena","5",TRUE,"SCT",0.540075034106412,FALSE,0.62441171875
"48","RGMDL2","1",TRUE,"SCT",0.736768802228412,FALSE,4.0615234375
"49","Camarena","6",TRUE,"SCT",0.662424067110211,FALSE,0.562355859375
"50","Camarena","7",TRUE,"SCT",0.585613654836088,FALSE,1.56650625
"51","RGMDL2","2",TRUE,"SCT",0.707791371538957,FALSE,1.499855859375
"52","Camarena","8",TRUE,"SCT",0.624522536287242,FALSE,0.59385
"53","Camarena","9",TRUE,"SCT",0.652987524622456,FALSE,0.2501
"54","Camarena","10",TRUE,"SCT",0.654220314735336,FALSE,0.7499
"55","RGMDL2","3",TRUE,"SCT",0.663715399859362,FALSE,-0.502053125
"56","Camarena","11",TRUE,"SCT",0.559654864623624,FALSE,2.437644140625
"57","Camarena","2",TRUE,"SCT",0.541526717557252,FALSE,0.7499
"58","RGMDL2","4",TRUE,"SCT",0.574503755364807,FALSE,1.4999
"59","HumScrm","1",TRUE,"SCT",0.8625,FALSE,-0.595703125
"60","HumScrm","2",TRUE,"SCT",0.5578125,FALSE,0.515825
"61","HumScrm","3",TRUE,"SCT",0.6578125,FALSE,1.507956640625
"62","HumScrm","4",TRUE,"SCT",0.7625,FALSE,0.3749
"63","HumScrm","5",TRUE,"SCT",0.65,FALSE,-1.0001
"64","HumScrm","6",TRUE,"SCT",0.7328125,FALSE,-1.4999
"65","HumScrm","7",TRUE,"SCT",0.8515625,FALSE,-2.251953125
"66","HumScrm","8",TRUE,"SCT",0.615625,FALSE,0.5623
"67","HumScrm","9",TRUE,"SCT",0.584375,FALSE,0.6251
"68","HumScrm","10",TRUE,"SCT",0.671875,FALSE,2.4999
"69","HumScrm","11",TRUE,"SCT",0.5,FALSE,-1.499855859375
"70","HumScrm","12",TRUE,"SCT",0.7765625,FALSE,1.6874
"71","HumScrm","13",TRUE,"SCT",0.6109375,FALSE,1.5002
"72","HumScrm","14",TRUE,"SCT",0.759375,FALSE,0.468605859375
"73","HumScrm","15",TRUE,"SCT",0.515625,FALSE,2.4999
"74","HumScrm","16",TRUE,"SCT",0.7328125,FALSE,-0.4999
"75","HumScrm","17",TRUE,"SCT",0.6484375,FALSE,-0.015525
"76","HumScrm","18",TRUE,"SCT",0.48125,FALSE,1.6251
"77","HumScrm","19",TRUE,"SCT",0.4640625,FALSE,1.48818125
"78","HumScrm","20",TRUE,"SCT",0.684375,FALSE,1.49619375
"79","HumScrm","21",TRUE,"SCT",0.50625,FALSE,1.6251
"80","HumScrm","22",TRUE,"SCT",0.559375,FALSE,2.4376
"81","HumScrm","23",TRUE,"SCT",0.7109375,FALSE,1.4999
"82","HumScrm","24",TRUE,"SCT",0.6875,FALSE,0.03135
"83","HumScrm","25",TRUE,"SCT",0.7296875,FALSE,4.5009765625
"84","HumScrm","26",TRUE,"SCT",0.621875,FALSE,3.421875
"85","HumScrm","27",TRUE,"SCT",0.55625,FALSE,1.2501
"86","HumScrm","28",TRUE,"SCT",0.7734375,FALSE,2.43691171875
"87","HumScrm","29",TRUE,"SCT",0.803125,FALSE,2.0001
"88","HumScrm","30",TRUE,"SCT",0.5921875,FALSE,0.5001
"89","HumScrm","31",TRUE,"SCT",0.721875,FALSE,0.1251
"90","HumScrm","32",TRUE,"SCT",0.66875,FALSE,0.5001
"91","HumScrm","33",TRUE,"SCT",0.5375,FALSE,1.4999
"92","HumScrm","34",TRUE,"SCT",0.5265625,FALSE,0.497946875
"93","HumScrm","35",TRUE,"SCT",0.5859375,FALSE,3.9999
"94","HumScrm","36",TRUE,"SCT",0.625,FALSE,2.4999
"95","HumScrm","37",TRUE,"SCT",0.5796875,FALSE,1.3751
"96","HumScrm","38",TRUE,"SCT",0.85625,FALSE,1.4992234375
"97","HumScrm","39",TRUE,"SCT",0.834375,FALSE,-0.50058828125
"98","HumScrm","40",TRUE,"SCT",0.715625,FALSE,0.99619375
"99","HumScrm","41",TRUE,"SCT",0.878125,FALSE,0.50380625
"100","HumScrm","42",TRUE,"SCT",0.6671875,FALSE,0.5001
"101","HumScrm","43",TRUE,"SCT",0.5390625,FALSE,2.000144140625
"102","HumScrm","44",TRUE,"SCT",0.7203125,FALSE,2.6251
"103","HumScrm","45",TRUE,"SCT",0.7078125,FALSE,0.497946875
"104","HumScrm","46",TRUE,"SCT",0.51875,FALSE,0.5001
"105","HumScrm","47",TRUE,"SCT",0.6421875,FALSE,-0.2420875
"106","HumScrm","48",TRUE,"SCT",0.5171875,FALSE,1.0001
"107","HumScrm","49",TRUE,"SCT",0.49375,FALSE,1.53105
"108","Humans","1",TRUE,"SCT",0.611111111111111,FALSE,0.00058828125
"109","Humans","3",TRUE,"SCT",0.333333333333333,FALSE,-0.00380625
"110","Humans","5",TRUE,"SCT",0.513888888888889,FALSE,1.4999
"111","HumScrm","50",TRUE,"SCT",0.7765625,FALSE,1.4999
"112","Humans","7",TRUE,"SCT",0.638888888888889,FALSE,2.8749
"113","Humans","9",TRUE,"SCT",0.611111111111111,FALSE,1.445556640625
"114","Humans","11",TRUE,"SCT",0.694444444444444,FALSE,0.96875
"115","Humans","13",TRUE,"SCT",0.611111111111111,FALSE,1.53115
"116","Humans","15",TRUE,"SCT",0.666666666666667,FALSE,-0.49619375
"117","Humans","21",TRUE,"SCT",0.5,FALSE,1.499855859375
"118","Humans","23",TRUE,"SCT",0.513888888888889,FALSE,0.5008765625
"119","Humans","25",TRUE,"SCT",0.541666666666667,FALSE,1e-04
"120","Humans","27",TRUE,"SCT",0.625,FALSE,0.546975
"121","Humans","29",TRUE,"SCT",0.513888888888889,FALSE,1.984475
"122","Humans","31",TRUE,"SCT",0.611111111111111,FALSE,1.4999
"123","HumScrm","51",TRUE,"SCT",0.728125,FALSE,0.5001
"124","Humans","33",TRUE,"SCT",0.625,FALSE,-0.06630625
"125","Humans","35",TRUE,"SCT",0.583333333333333,FALSE,0.4999
"126","Humans","37",TRUE,"SCT",0.638888888888889,FALSE,-0.017678125
"127","Humans","41",TRUE,"SCT",0.652777777777778,FALSE,0.015625
"128","Humans","43",TRUE,"SCT",0.638888888888889,FALSE,1.4999
"129","HumScrm","52",TRUE,"SCT",0.521875,FALSE,-0.500144140625
"130","HumScrm","53",TRUE,"SCT",0.65625,FALSE,1.6249
"131","HumScrm","54",TRUE,"SCT",0.45625,FALSE,-0.00380625
"132","HumScrm","55",TRUE,"SCT",0.5515625,FALSE,0.5001
"133","HumScrm","56",TRUE,"SCT",0.509375,FALSE,-1.5001
"134","HumScrm","57",TRUE,"SCT",0.6296875,FALSE,2.25380625
"135","HumScrm","58",TRUE,"SCT",0.85,FALSE,0.24609375
"136","HumScrm","59",TRUE,"SCT",0.61875,FALSE,2.5008765625
"137","HumScrm","60",TRUE,"SCT",0.48125,FALSE,0.5001
"138","HumScrm","61",TRUE,"SCT",0.503125,FALSE,-0.5001
"139","HumScrm","62",TRUE,"SCT",0.68125,FALSE,2.0001
"140","HumScrm","63",TRUE,"SCT",0.459375,FALSE,4.4999
"141","HumScrm","64",TRUE,"SCT",0.80625,FALSE,1.78125
"142","HumScrm","65",TRUE,"SCT",0.725,FALSE,1.5002
"143","HumScrm","66",TRUE,"SCT",0.734375,FALSE,0.4999
"144","HumScrm","67",TRUE,"SCT",0.6921875,FALSE,1.4999
"145","HumScrm","68",TRUE,"SCT",0.60625,FALSE,1.2499
"146","HumScrm","69",TRUE,"SCT",0.7203125,FALSE,-0.4372
"147","HumScrm","70",TRUE,"SCT",0.6921875,FALSE,2.21865
