"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a"
"1","WaspsNew","D139",TRUE,"SCTinterpr",0.6,FALSE,1.4999
"2","WaspsNew","D187",TRUE,"SCTinterpr",0.5625,FALSE,2.4999
"3","WaspsNew","D201",TRUE,"SCTinterpr",0.625,FALSE,1.4999
"4","WaspsNew","D216",TRUE,"SCTinterpr",0.575,FALSE,0.4998779296875
"5","WaspsNew","D217",TRUE,"SCTinterpr",0.625,FALSE,1.484475
"6","WaspsNew","D223",TRUE,"SCTinterpr",0.55,FALSE,0.5
"7","WaspsNew","D229",TRUE,"SCTinterpr",0.45,FALSE,2.5001
"8","WaspsNew","D239B",TRUE,"SCTinterpr",0.4875,FALSE,0.4999
"9","WaspsNew","D257",TRUE,"SCTinterpr",0.625,FALSE,0.68798828125
"10","WaspsNew","D67A",TRUE,"SCTinterpr",0.625,FALSE,1.4991234375
"11","WaspsNew","D81B",TRUE,"SCTinterpr",0.6875,FALSE,2.5
"12","WaspsNew","D92B",TRUE,"SCTinterpr",0.5,FALSE,0.4999
"13","WaspsNew","D122",TRUE,"SCTinterpr",0.55,FALSE,0.5
"14","WaspsNew","D133",TRUE,"SCTinterpr",0.35,FALSE,0.7420875
"15","WaspsNew","D140",TRUE,"SCTinterpr",0.675,FALSE,1.5
"16","WaspsNew","D149",TRUE,"SCTinterpr",0.375,FALSE,0.5001
"17","WaspsNew","D15",TRUE,"SCTinterpr",0.525,FALSE,0.46875
"18","WaspsNew","D22",TRUE,"SCTinterpr",0.625,FALSE,0.500144140625
"19","WaspsNew","D43",TRUE,"SCTinterpr",0.525,FALSE,0.4999
"20","WaspsNew","D45",TRUE,"SCTinterpr",0.6125,FALSE,0.5001
"21","WaspsNew","D50",TRUE,"SCTinterpr",0.325,FALSE,0.51943125
"22","WaspsNew","D55",TRUE,"SCTinterpr",0.525,FALSE,0.5001
"23","WaspsNew","D71",TRUE,"SCTinterpr",0.175,FALSE,1.50380625
"24","WaspsNew","M17",TRUE,"SCTinterpr",0.6,FALSE,1.5
"25","WaspsNew","M21",TRUE,"SCTinterpr",0.7875,FALSE,0.499755859375
"26","WaspsNew","M22",TRUE,"SCTinterpr",0.475,FALSE,-1e-04
"27","WaspsNew","M23",TRUE,"SCTinterpr",0.675,FALSE,1e-04
"28","WaspsNew","M28B",TRUE,"SCTinterpr",0.5625,FALSE,0.4999
"29","WaspsNew","M29",TRUE,"SCTinterpr",0.625,FALSE,0.5
"30","WaspsNew","M31A",TRUE,"SCTinterpr",0.6,FALSE,1.5000220703125
"31","WaspsNew","M10A",TRUE,"SCTinterpr",0.35,FALSE,1.2499
"32","WaspsNew","M10B",TRUE,"SCTinterpr",0.3,FALSE,0.8749
"33","WaspsNew","M11",TRUE,"SCTinterpr",0.25,FALSE,2.5001
"34","WaspsNew","M24",TRUE,"SCTinterpr",0.575,FALSE,0.4375
"35","WaspsNew","M32A",TRUE,"SCTinterpr",0.4375,FALSE,1.2501
"36","WaspsNew","M32C",TRUE,"SCTinterpr",0.4,FALSE,-1.4999
"37","WaspsNew","M4",TRUE,"SCTinterpr",0.325,FALSE,1.5704125
"38","WaspsNew","M6",TRUE,"SCTinterpr",0.475,FALSE,-0.6249
"39","WaspsNew","M7",TRUE,"SCTinterpr",0.6,FALSE,2.5
"40","WaspsNew","M9",TRUE,"SCTinterpr",0.4625,FALSE,1.50015
"41","RGMDL3","1",TRUE,"SCTinterpr",0.59263901549681,FALSE,2.502053125
"42","RGMDL3","2",TRUE,"SCTinterpr",0.525446213217559,FALSE,3.4999
"43","RGMDL3","3",TRUE,"SCTinterpr",0.509594882729211,FALSE,1.2579125
"44","RGMDL3","4",TRUE,"SCTinterpr",0.537428571428571,FALSE,-0.484475
"45","Camarena","1",TRUE,"SCTinterpr",0.587689713322091,FALSE,0.2497
"46","Camarena","4",TRUE,"SCTinterpr",0.53785798352295,FALSE,-2.4999
"47","Camarena","5",TRUE,"SCTinterpr",0.441336971350614,FALSE,-0.0624
"48","Camarena","6",TRUE,"SCTinterpr",0.643043100954585,FALSE,1.015525
"49","RGMDL2","1",TRUE,"SCTinterpr",0.532990947075209,FALSE,0.3827125
"50","Camarena","7",TRUE,"SCTinterpr",0.535356272013005,FALSE,-0.2501
"51","Camarena","8",TRUE,"SCTinterpr",0.572192513368984,FALSE,1.3204125
"52","Camarena","9",TRUE,"SCTinterpr",0.644123440577807,FALSE,-0.3124
"53","RGMDL2","2",TRUE,"SCTinterpr",0.482356728911784,FALSE,0.75058828125
"54","Camarena","10",TRUE,"SCTinterpr",0.581688125894134,FALSE,1.2502
"55","Camarena","11",TRUE,"SCTinterpr",0.544927105028265,FALSE,3.502053125
"56","RGMDL2","3",TRUE,"SCTinterpr",0.473502525091095,FALSE,1.01591328125
"57","Camarena","2",TRUE,"SCTinterpr",0.616641221374046,FALSE,0.50380625
"58","RGMDL2","4",TRUE,"SCTinterpr",0.610716201716738,FALSE,0.7499
"59","HumScrm","1",TRUE,"SCTinterpr",0.553125,FALSE,-1e-04
"60","HumScrm","2",TRUE,"SCTinterpr",0.578125,FALSE,1.2501
"61","HumScrm","3",TRUE,"SCTinterpr",0.49375,FALSE,-0.00380625
"62","HumScrm","4",TRUE,"SCTinterpr",0.496875,FALSE,1.984475
"63","HumScrm","5",TRUE,"SCTinterpr",0.53125,FALSE,0.453225
"64","HumScrm","6",TRUE,"SCTinterpr",0.475,FALSE,3.49599375
"65","HumScrm","7",TRUE,"SCTinterpr",0.55625,FALSE,0.62431171875
"66","HumScrm","8",TRUE,"SCTinterpr",0.39375,FALSE,-0.4999
"67","HumScrm","9",TRUE,"SCTinterpr",0.5421875,FALSE,-0.078025
"68","HumScrm","10",TRUE,"SCTinterpr",0.4765625,FALSE,1.53066171875
"69","HumScrm","11",TRUE,"SCTinterpr",0.509375,FALSE,1.4999
"70","HumScrm","12",TRUE,"SCTinterpr",0.4703125,FALSE,0.8751
"71","HumScrm","13",TRUE,"SCTinterpr",0.7421875,FALSE,-1e-04
"72","HumScrm","14",TRUE,"SCTinterpr",0.73125,FALSE,-1.359375
