"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","bMinus","bPlus","e"
"1","WaspsNew","D139",TRUE,"SiemannDelius",0.551368592414519,FALSE,1.6476633023796,1.61597149165233,0.350182130185452
"2","WaspsNew","D187",TRUE,"SiemannDelius",0.680120222689611,FALSE,1.76390004663384,0.005890968207569,1.48951179199995
"3","WaspsNew","D201",TRUE,"SiemannDelius",0.562524212290746,FALSE,1.67093407964231,1.67187798809152,-0.592073944981118
"4","WaspsNew","D216",TRUE,"SiemannDelius",0.651471335098649,FALSE,0.20850495060621,-1.32732092237112,0.919633136010458
"5","WaspsNew","D217",TRUE,"SiemannDelius",0.662419281492989,FALSE,2.62860161556073,1.97934228638347,3.17568903784562
"6","WaspsNew","D223",TRUE,"SiemannDelius",0.554945853434411,FALSE,1.44942424167415,1.22133322333325,0.594285680650147
"7","HumScrm","1",TRUE,"SiemannDelius",0.666259220259932,FALSE,0.26880188247338,0.335905398257961,0.429671547552664
"8","WaspsNew","D229",TRUE,"SiemannDelius",0.50682075972669,FALSE,2.40609153646217,1.16962272984133,-0.537090926750684
"9","WaspsNew","D239B",TRUE,"SiemannDelius",0.587370788107645,FALSE,3.09943419562105,2.34915419515576,-0.352056352687379
"10","WaspsNew","D257",TRUE,"SiemannDelius",0.488599723602265,FALSE,1.03280785565866,1.53432506823817,0.406757676876739
"11","WaspsNew","D67A",TRUE,"SiemannDelius",0.624699797491733,FALSE,1.66636779422758,1.62365523212822,0.356664545589419
"12","WaspsNew","D81B",TRUE,"SiemannDelius",0.687431532772567,FALSE,2.80519796012066,1.97610557431772,2.56702500303076
"13","HumScrm","2",TRUE,"SiemannDelius",0.622732533851101,FALSE,1.10068428971372,0.349604824401651,0.36644548620888
"14","WaspsNew","D92B",TRUE,"SiemannDelius",0.504325674401849,FALSE,1.47185842847529,1.22964544963678,0.594004562805976
"15","WaspsNew","D122",TRUE,"SiemannDelius",0.812474948220017,FALSE,2.02487496890868,1.17554320086097,2.69592907991106
"16","WaspsNew","D133",TRUE,"SiemannDelius",0.837477450423376,FALSE,1.88553640742337,1.32269234153518,2.82351016517758
"17","WaspsNew","D140",TRUE,"SiemannDelius",0.908541800639287,FALSE,1.41326953994315,1.65137408989228,2.33781537333716
"18","HumScrm","3",TRUE,"SiemannDelius",0.678731067134598,FALSE,1.54110151318304,0.425740961472692,0.234518495207155
"19","WaspsNew","D149",TRUE,"SiemannDelius",0.812474948800443,FALSE,2.09643077390292,1.16913976486488,2.67749484673385
"20","WaspsNew","D15",TRUE,"SiemannDelius",0.787477461538805,FALSE,1.9746827719151,1.14306797184121,2.48514596277653
"21","WaspsNew","D22",TRUE,"SiemannDelius",0.85867929737455,FALSE,1.44054449928845,1.60471297317553,2.33781225754421
"22","WaspsNew","D43",TRUE,"SiemannDelius",0.762096006991045,FALSE,2.93899967653533,2.43796734381513,4.32538236416759
"23","HumScrm","4",TRUE,"SiemannDelius",0.678116714619888,FALSE,0.664312848774357,0.325476053102953,0.396563906301129
"24","WaspsNew","D45",TRUE,"SiemannDelius",0.85867929737455,FALSE,1.44054449928845,1.60471297317553,2.33781225754421
"25","WaspsNew","D50",TRUE,"SiemannDelius",0.910666089597379,FALSE,1.7399197682488,1.47480279592063,2.59804253332687
"26","WaspsNew","D55",TRUE,"SiemannDelius",0.787474959889588,FALSE,2.47093133735087,0.808413411293284,3.10189518012848
"27","WaspsNew","D71",TRUE,"SiemannDelius",0.857017037054746,FALSE,1.06314528834645,1.73864330051722,2.18247891423737
"28","HumScrm","5",TRUE,"SiemannDelius",0.639064719107025,FALSE,0.731199458027307,0.340119242814411,0.341595934261857
"29","WaspsNew","M17",TRUE,"SiemannDelius",0.637656662972878,FALSE,-0.309587137506431,-1.18917859245824,0.776929464385367
"30","WaspsNew","M21",TRUE,"SiemannDelius",0.682527933153212,FALSE,1.61768522529314,1.52389598783695,0.407857557673633
"31","WaspsNew","M22",TRUE,"SiemannDelius",0.53020148157985,FALSE,1.09407205675928,2.4552849960535,-0.22094583887838
"32","Camarena","1",TRUE,"SiemannDelius",0.770514128221673,FALSE,2.53661655990679,1.64444609594033,2.02869567436509
"33","WaspsNew","M23",TRUE,"SiemannDelius",0.628818005292174,FALSE,1.61113747131236,1.5333222628985,0.411588411098581
"34","WaspsNew","M28B",TRUE,"SiemannDelius",0.538804238933048,FALSE,1.65222431817404,1.72281662568034,-1.47148331526656
