"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","h"
"1","WaspsNew","D139",TRUE,"Trabasso",0.6249850029994,FALSE,0.5001
"2","WaspsNew","D187",TRUE,"Trabasso",0.621794871794872,FALSE,19.5
"3","WaspsNew","D201",TRUE,"Trabasso",0.573106060606061,FALSE,11
"4","WaspsNew","D216",TRUE,"Trabasso",0.620512820512821,FALSE,19.5
"5","WaspsNew","D217",TRUE,"Trabasso",0.675,FALSE,-0.5
"6","WaspsNew","D223",TRUE,"Trabasso",0.5749950009998,FALSE,0.5001
"7","WaspsNew","D229",TRUE,"Trabasso",0.581189083820663,FALSE,0.66796875
"8","WaspsNew","D239B",TRUE,"Trabasso",0.549621212121212,FALSE,11
"9","WaspsNew","D257",TRUE,"Trabasso",0.593730158730159,FALSE,0.66650390625
"10","WaspsNew","D67A",TRUE,"Trabasso",0.625,FALSE,-0.5
"11","WaspsNew","D81B",TRUE,"Trabasso",0.7,FALSE,-0.5
"12","WaspsNew","D92B",TRUE,"Trabasso",0.56873091486503,FALSE,0.666259765625
"13","WaspsNew","D122",TRUE,"Trabasso",0.68482905982906,FALSE,19.5
"14","WaspsNew","D133",TRUE,"Trabasso",0.661111111111111,FALSE,19.5
"15","WaspsNew","D140",TRUE,"Trabasso",0.565384615384615,FALSE,19.5
"16","WaspsNew","D149",TRUE,"Trabasso",0.68525641025641,FALSE,19.5
"17","WaspsNew","D15",TRUE,"Trabasso",0.708547008547009,FALSE,19.5
"18","WaspsNew","D22",TRUE,"Trabasso",0.613247863247863,FALSE,19.5
"19","WaspsNew","D43",TRUE,"Trabasso",0.709401709401709,FALSE,19.5
"20","WaspsNew","D45",TRUE,"Trabasso",0.613247863247863,FALSE,19.5
"21","WaspsNew","D50",TRUE,"Trabasso",0.566239316239316,FALSE,19.5
"22","WaspsNew","D55",TRUE,"Trabasso",0.708119658119658,FALSE,19.5
"23","WaspsNew","D71",TRUE,"Trabasso",0.612820512820513,FALSE,19.5
"24","WaspsNew","M17",TRUE,"Trabasso",0.64465811965812,FALSE,19.5
"25","WaspsNew","M21",TRUE,"Trabasso",0.675,FALSE,-0.5
"26","WaspsNew","M22",TRUE,"Trabasso",0.523931623931624,FALSE,19.5
"27","WaspsNew","M23",TRUE,"Trabasso",0.625,FALSE,-0.5
"28","WaspsNew","M28B",TRUE,"Trabasso",0.573504273504273,FALSE,19.5
"29","WaspsNew","M29",TRUE,"Trabasso",0.556245421245421,FALSE,0.66650390625
"30","WaspsNew","M31A",TRUE,"Trabasso",0.6249850029994,FALSE,0.5001
"31","WaspsNew","M10A",TRUE,"Trabasso",0.686111111111111,FALSE,19.5
"32","WaspsNew","M10B",TRUE,"Trabasso",0.637820512820513,FALSE,19.5
"33","WaspsNew","M11",TRUE,"Trabasso",0.637393162393162,FALSE,19.5
"34","WaspsNew","M24",TRUE,"Trabasso",0.661538461538462,FALSE,19.5
"35","WaspsNew","M32A",TRUE,"Trabasso",0.661111111111111,FALSE,19.5
"36","WaspsNew","M32C",TRUE,"Trabasso",0.661538461538462,FALSE,19.5
"37","WaspsNew","M4",TRUE,"Trabasso",0.661538461538462,FALSE,19.5
"38","WaspsNew","M6",TRUE,"Trabasso",0.708974358974359,FALSE,19.5
"39","WaspsNew","M7",TRUE,"Trabasso",0.637820512820513,FALSE,19.5
"40","WaspsNew","M9",TRUE,"Trabasso",0.636965811965812,FALSE,19.5
"41","RGMDL3","1",TRUE,"Trabasso",0.635369188696445,FALSE,-0.5
"42","RGMDL3","2",TRUE,"Trabasso",0.7883502170767,FALSE,-0.5
"43","RGMDL3","3",TRUE,"Trabasso",0.638404615577574,FALSE,-0.5
"44","RGMDL3","4",TRUE,"Trabasso",0.722057142857143,FALSE,-0.5
"45","Camarena","1",TRUE,"Trabasso",0.770938729623384,FALSE,-0.5
"46","Camarena","4",TRUE,"Trabasso",0.737936445664967,FALSE,-0.5
"47","Camarena","5",TRUE,"Trabasso",0.701087476911163,FALSE,0.5001
"48","Camarena","6",TRUE,"Trabasso",0.75875036158519,FALSE,-0.5
"49","Camarena","7",TRUE,"Trabasso",0.834733134651856,FALSE,-0.5
"50","Camarena","8",TRUE,"Trabasso",0.763559969442322,FALSE,-0.5
"51","Camarena","9",TRUE,"Trabasso",0.714051214707814,FALSE,-0.5
"52","Camarena","10",TRUE,"Trabasso",0.747353361945637,FALSE,-0.5
"53","Camarena","11",TRUE,"Trabasso",0.733412674799167,FALSE,-0.5
"54","RGMDL2","1",TRUE,"Trabasso",0.838788300835655,FALSE,-0.5
"55","Camarena","2",TRUE,"Trabasso",0.691908396946565,FALSE,-0.5
"56","RGMDL2","2",TRUE,"Trabasso",0.863232453316162,FALSE,-0.5
"57","RGMDL2","3",TRUE,"Trabasso",0.831745828805216,FALSE,-0.5
"58","RGMDL2","4",TRUE,"Trabasso",0.855954935622318,FALSE,-0.5
"59","HumScrm","1",TRUE,"Trabasso",0.803125,FALSE,-0.5
"60","HumScrm","2",TRUE,"Trabasso",0.59375,FALSE,-0.5
"61","HumScrm","3",TRUE,"Trabasso",0.6875,FALSE,-0.5
"62","HumScrm","4",TRUE,"Trabasso",0.790625,FALSE,-0.5
"63","HumScrm","5",TRUE,"Trabasso",0.703125,FALSE,-0.5
"64","HumScrm","6",TRUE,"Trabasso",0.7875,FALSE,-0.5
"65","HumScrm","7",TRUE,"Trabasso",0.784375,FALSE,-0.5
"66","HumScrm","8",TRUE,"Trabasso",0.78125,FALSE,-0.5
"67","HumScrm","9",TRUE,"Trabasso",0.784375,FALSE,-0.5
"68","HumScrm","10",TRUE,"Trabasso",0.753125,FALSE,-0.5
"69","HumScrm","11",TRUE,"Trabasso",0.551026058631922,FALSE,0.599609375
"70","HumScrm","12",TRUE,"Trabasso",0.809375,FALSE,-0.5
