"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b","t"
"1","WaspsNew","D139",TRUE,"VTTBS",0.53752997394276,FALSE,2.30938364877159,2.0692977056114,0.355784080328236
"2","WaspsNew","D187",TRUE,"VTTBS",0.537498261584528,FALSE,2.05774780674431,2.41347866921363,0.11024627525297
"3","WaspsNew","D201",TRUE,"VTTBS",0.562827477923661,FALSE,2.43464466368172,1.79291309522222,0.494455347167819
"4","WaspsNew","D216",TRUE,"VTTBS",0.588495396413134,FALSE,1.33004668922503,2.06206157019763,0.385423020442904
"5","WaspsNew","D217",TRUE,"VTTBS",0.601971214423004,FALSE,0.815730136622977,1.87584127614408,0.237390743067874
"6","WaspsNew","D223",TRUE,"VTTBS",0.537537735337546,FALSE,2.29729903351445,2.05981181345838,0.358602889153843
"7","WaspsNew","D229",TRUE,"VTTBS",0.553340807801627,FALSE,1.48715505622953,1.27143943554249,0.359119690588117
"8","WaspsNew","D239B",TRUE,"VTTBS",0.587922339691592,FALSE,2.42109228024832,1.73773988303352,0.49726655101992
"9","WaspsNew","D257",TRUE,"VTTBS",0.569989842898325,FALSE,1.66603768320872,1.52632848445727,0.345761452038165
"10","WaspsNew","D67A",TRUE,"VTTBS",0.580673797751407,FALSE,0.812912433559627,1.81443768686392,0.029122218867025
"11","WaspsNew","D81B",TRUE,"VTTBS",0.656311825736818,FALSE,0.746154317548217,2.73010639411163,0.104451393950903
"12","WaspsNew","D92B",TRUE,"VTTBS",0.544267820494308,FALSE,1.69341463262193,1.58728610258713,0.353643489169943
"13","WaspsNew","D122",TRUE,"VTTBS",0.573343471587032,FALSE,1.49305949068741,1.69594308114031,0.578449398601247
"14","WaspsNew","D133",TRUE,"VTTBS",0.556539863106772,FALSE,1.21920992950301,1.55027176136519,0.498383372997617
"15","WaspsNew","D140",TRUE,"VTTBS",0.550823995245733,FALSE,1.37301668100253,1.63542175179997,0.503709821700175
"16","WaspsNew","D149",TRUE,"VTTBS",0.523798545598067,FALSE,1.4086987973171,1.67586795374313,0.568577257416339
"17","WaspsNew","D15",TRUE,"VTTBS",0.549444293771515,FALSE,1.41803420579894,1.71258876508679,0.564748396993278
"18","WaspsNew","D22",TRUE,"VTTBS",0.551223256158958,FALSE,1.36387970317118,1.63701378123266,0.503540549572135
"19","WaspsNew","D43",TRUE,"VTTBS",0.556248364438672,FALSE,1.2058955747346,1.55397576366216,0.497577581327109
"20","WaspsNew","D45",TRUE,"VTTBS",0.551223256158958,FALSE,1.36387970317118,1.63701378123266,0.503540549572135
"21","WaspsNew","D50",TRUE,"VTTBS",0.55124523607501,FALSE,1.36331530231427,1.62753751440143,0.502733936860677
"22","WaspsNew","D55",TRUE,"VTTBS",0.511999945779272,FALSE,2.57597684682953,0.482074663541974,0.306421908799766
"23","WaspsNew","D71",TRUE,"VTTBS",0.551314812902085,FALSE,1.36385251485246,1.63669120076634,0.501998748324554
"24","WaspsNew","M17",TRUE,"VTTBS",0.556914132205434,FALSE,1.40933176806608,1.5294224110563,0.373780818799795
"25","WaspsNew","M21",TRUE,"VTTBS",0.616303602646114,FALSE,0.905418606939232,1.8315221325195,-0.031710304535372
"26","WaspsNew","M22",TRUE,"VTTBS",0.562805279005751,FALSE,2.39683432789013,1.96511220520797,0.496100499542874
"27","WaspsNew","M23",TRUE,"VTTBS",0.598681820195421,FALSE,1.14487981034675,2.42271049928194,0.40587380144235
"28","WaspsNew","M28B",TRUE,"VTTBS",0.537662117470547,FALSE,1.93845842411767,2.09034022784409,0.232137992508419
"29","WaspsNew","M29",TRUE,"VTTBS",0.534245656602509,FALSE,1.42056693033277,1.94639319608213,0.377065052031014
"30","WaspsNew","M31A",TRUE,"VTTBS",0.594111113587022,FALSE,1.02402858743817,2.04822332693945,0.056524353679039
"31","WaspsNew","M10A",TRUE,"VTTBS",0.524661693292887,FALSE,1.37802715349155,1.70872026347744,0.546692924890496
"32","WaspsNew","M10B",TRUE,"VTTBS",0.524518672204766,FALSE,1.39778751764618,1.72666327387121,0.536869290769876
"33","WaspsNew","M11",TRUE,"VTTBS",0.5759980087018,FALSE,1.36220595799393,1.62772460416167,0.507978982784499
"34","WaspsNew","M24",TRUE,"VTTBS",0.556203245724242,FALSE,1.2200152688705,1.55570641573464,0.499525928186201
"35","WaspsNew","M32A",TRUE,"VTTBS",0.556539863106772,FALSE,1.21920992950301,1.55027176136519,0.498383372997617
"36","WaspsNew","M32C",TRUE,"VTTBS",0.556203245724242,FALSE,1.2200152688705,1.55570641573464,0.499525928186201
"37","WaspsNew","M4",TRUE,"VTTBS",0.556203245724242,FALSE,1.2200152688705,1.55570641573464,0.499525928186201
"38","WaspsNew","M6",TRUE,"VTTBS",0.548659625207654,FALSE,1.51707444139635,1.7728699318153,0.566684839893588
"39","WaspsNew","M7",TRUE,"VTTBS",0.524518672204766,FALSE,1.39778751764618,1.72666327387121,0.536869290769876
"40","WaspsNew","M9",TRUE,"VTTBS",0.525764218404055,FALSE,1.38083626539664,1.63751521955959,0.499006406966497
"41","RGMDL3","1",TRUE,"VTTBS",0.517663380533052,FALSE,0.783757358153114,1.64969121219338,0.254214476569211
"42","RGMDL3","2",TRUE,"VTTBS",0.502470412068038,FALSE,0.201499392049693,2.02790868034006,-0.130303104318953
"43","RGMDL3","3",TRUE,"VTTBS",0.511182052793451,FALSE,0.824829089264613,1.38104738885729,0.353362272328527
"44","RGMDL3","4",TRUE,"VTTBS",0.72205123562305,FALSE,-1.18562620364247,1.14124062193312,2.00761228633755
"45","Humans","1",TRUE,"VTTBS",0.628633086130453,FALSE,2.82259692206085,0.458469570431319,0.185127250362613
"46","Humans","3",TRUE,"VTTBS",0.657346297680017,FALSE,1.17518351014778,1.84025211362182,0.506165472418462
"47","Humans","5",TRUE,"VTTBS",0.535058842467587,FALSE,-0.398963855499962,-0.762847236609877,2.61101577383181
"48","Humans","7",TRUE,"VTTBS",0.663711200054683,FALSE,2.65436237077764,2.23617195196022,1.45587597631491
"49","Humans","9",TRUE,"VTTBS",0.630501443116394,FALSE,1.3243648756042,1.52422237939169,0.467386472965614
"50","Humans","11",TRUE,"VTTBS",0.644767168901471,FALSE,1.07941900636976,2.42292454900969,1.04169037091339
"51","Humans","13",TRUE,"VTTBS",0.60950765457813,FALSE,2.23016400419045,2.37766405157382,-0.126253198975002
"52","Humans","15",TRUE,"VTTBS",0.662294996252732,FALSE,1.13748325613938,2.27250039475193,0.182708533768756
"53","Humans","21",TRUE,"VTTBS",0.754514012905858,FALSE,-2.42121935341937,0.475260854335319,5.57168234205909
"54","Humans","23",TRUE,"VTTBS",0.651382890485902,FALSE,0.862490538328776,3.36704030439187,1.66996791689975
"55","Humans","25",TRUE,"VTTBS",0.551025089674818,FALSE,0.658892738875282,2.53427410307833,1.86346770947815
"56","Humans","27",TRUE,"VTTBS",0.7078050745582,FALSE,1.4956319210153,2.66008514534955,-1.31804563919602
"57","Humans","29",TRUE,"VTTBS",0.726163080187043,FALSE,1.64215179669368,1.7738315178518,1.46861489513015
"58","Humans","31",TRUE,"VTTBS",0.651351254037929,FALSE,1.96708017274152,1.53698016415659,-0.540692088647713
"59","Humans","33",TRUE,"VTTBS",0.647886746836844,FALSE,2.56788781813292,1.98875057896672,0.021626884617342
