"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a"
"1","WaspsNew","D139",TRUE,"DeSoto",0.55,FALSE,0.5
"2","WaspsNew","D187",TRUE,"DeSoto",0.375,FALSE,0.5
"3","WaspsNew","D201",TRUE,"DeSoto",0.425,FALSE,0.5
"4","WaspsNew","D216",TRUE,"DeSoto",0.375,FALSE,0.5
"5","WaspsNew","D217",TRUE,"DeSoto",0.675,FALSE,0.5
"6","WaspsNew","D223",TRUE,"DeSoto",0.55,FALSE,0.5
"7","WaspsNew","D229",TRUE,"DeSoto",0.45,FALSE,0.5
"8","WaspsNew","D239B",TRUE,"DeSoto",0.45,FALSE,0.5
"9","WaspsNew","D257",TRUE,"DeSoto",0.475,FALSE,0.5
"10","WaspsNew","D67A",TRUE,"DeSoto",0.625,FALSE,0.5
"11","WaspsNew","D81B",TRUE,"DeSoto",0.7,FALSE,0.5
"12","WaspsNew","D92B",TRUE,"DeSoto",0.5,FALSE,0.5
"13","WaspsNew","D122",TRUE,"DeSoto",0.3,FALSE,0.5
"14","WaspsNew","D133",TRUE,"DeSoto",0.325,FALSE,0.5
"15","WaspsNew","D140",TRUE,"DeSoto",0.425,FALSE,0.5
"16","WaspsNew","D149",TRUE,"DeSoto",0.3,FALSE,0.5
"17","WaspsNew","D15",TRUE,"DeSoto",0.275,FALSE,0.5
"18","WaspsNew","D22",TRUE,"DeSoto",0.375,FALSE,0.5
"19","WaspsNew","D43",TRUE,"DeSoto",0.275,FALSE,0.5
"20","WaspsNew","D45",TRUE,"DeSoto",0.375,FALSE,0.5
"21","WaspsNew","D50",TRUE,"DeSoto",0.425,FALSE,0.5
"22","WaspsNew","D55",TRUE,"DeSoto",0.275,FALSE,0.5
"23","WaspsNew","D71",TRUE,"DeSoto",0.375,FALSE,0.5
"24","WaspsNew","M17",TRUE,"DeSoto",0.35,FALSE,0.5
"25","WaspsNew","M21",TRUE,"DeSoto",0.675,FALSE,0.5
"26","WaspsNew","M22",TRUE,"DeSoto",0.475,FALSE,0.5
"27","WaspsNew","M23",TRUE,"DeSoto",0.625,FALSE,0.5
"28","WaspsNew","M28B",TRUE,"DeSoto",0.425,FALSE,0.5
"29","WaspsNew","M29",TRUE,"DeSoto",0.475,FALSE,0.5
"30","WaspsNew","M31A",TRUE,"DeSoto",0.6,FALSE,0.5
"31","WaspsNew","M10A",TRUE,"DeSoto",0.3,FALSE,0.5
"32","WaspsNew","M10B",TRUE,"DeSoto",0.35,FALSE,0.5
"33","WaspsNew","M11",TRUE,"DeSoto",0.35,FALSE,0.5
"34","WaspsNew","M24",TRUE,"DeSoto",0.325,FALSE,0.5
"35","WaspsNew","M32A",TRUE,"DeSoto",0.325,FALSE,0.5
"36","WaspsNew","M32C",TRUE,"DeSoto",0.325,FALSE,0.5
"37","WaspsNew","M4",TRUE,"DeSoto",0.325,FALSE,0.5
"38","WaspsNew","M6",TRUE,"DeSoto",0.275,FALSE,0.5
"39","WaspsNew","M7",TRUE,"DeSoto",0.35,FALSE,0.5
"40","WaspsNew","M9",TRUE,"DeSoto",0.35,FALSE,0.5
"41","RGMDL3","1",TRUE,"DeSoto",0.635369188696445,FALSE,0.5
"42","RGMDL3","2",TRUE,"DeSoto",0.788109020742885,FALSE,0.5
"43","RGMDL3","3",TRUE,"DeSoto",0.638655462184874,FALSE,0.5
"44","RGMDL3","4",TRUE,"DeSoto",0.722171428571429,FALSE,0.5
"45","Camarena","1",TRUE,"DeSoto",0.770376616076447,FALSE,0.5
"46","Camarena","4",TRUE,"DeSoto",0.737936445664967,FALSE,0.5
"47","Camarena","5",TRUE,"DeSoto",0.693383356070941,FALSE,0.5
"48","Camarena","6",TRUE,"DeSoto",0.75875036158519,FALSE,0.5
"49","Camarena","7",TRUE,"DeSoto",0.834733134651856,FALSE,0.5
"50","Camarena","8",TRUE,"DeSoto",0.763177998472116,FALSE,0.5
"51","Camarena","9",TRUE,"DeSoto",0.713722915298752,FALSE,0.5
"52","Camarena","10",TRUE,"DeSoto",0.747353361945637,FALSE,0.5
"53","Camarena","11",TRUE,"DeSoto",0.733115144302291,FALSE,0.5
"54","Camarena","2",TRUE,"DeSoto",0.691603053435115,FALSE,0.5
"55","RGMDL2","1",TRUE,"DeSoto",0.838730269266481,FALSE,0.5
"56","RGMDL2","2",TRUE,"DeSoto",0.863232453316162,FALSE,0.5
"57","RGMDL2","3",TRUE,"DeSoto",0.831809755162053,FALSE,0.5
"58","RGMDL2","4",TRUE,"DeSoto",0.855954935622318,FALSE,0.5
"59","HumScrm","1",TRUE,"DeSoto",0.5,FALSE,0.5
"60","HumScrm","2",TRUE,"DeSoto",0.475,FALSE,0.5
"61","HumScrm","3",TRUE,"DeSoto",0.4875,FALSE,0.5
"62","HumScrm","4",TRUE,"DeSoto",0.53125,FALSE,0.5
"63","HumScrm","5",TRUE,"DeSoto",0.509375,FALSE,0.5
"64","HumScrm","6",TRUE,"DeSoto",0.496875,FALSE,0.5
"65","HumScrm","7",TRUE,"DeSoto",0.509375,FALSE,0.5
"66","HumScrm","8",TRUE,"DeSoto",0.509375,FALSE,0.5
"67","HumScrm","9",TRUE,"DeSoto",0.5,FALSE,0.5
"68","HumScrm","10",TRUE,"DeSoto",0.515625,FALSE,0.5
"69","HumScrm","11",TRUE,"DeSoto",0.609375,FALSE,0.5
"70","HumScrm","12",TRUE,"DeSoto",0.5125,FALSE,0.5
"71","HumScrm","13",TRUE,"DeSoto",0.5125,FALSE,0.5
"72","HumScrm","14",TRUE,"DeSoto",0.5125,FALSE,0.5
"73","HumScrm","15",TRUE,"DeSoto",0.46875,FALSE,0.5
"74","HumScrm","16",TRUE,"DeSoto",0.5,FALSE,0.5
"75","HumScrm","17",TRUE,"DeSoto",0.5,FALSE,0.5
"76","HumScrm","18",TRUE,"DeSoto",0.4625,FALSE,0.5
"77","HumScrm","19",TRUE,"DeSoto",0.55,FALSE,0.5
"78","HumScrm","20",TRUE,"DeSoto",0.496875,FALSE,0.5
"79","HumScrm","21",TRUE,"DeSoto",0.565625,FALSE,0.5
"80","HumScrm","22",TRUE,"DeSoto",0.6625,FALSE,0.5
"81","HumScrm","23",TRUE,"DeSoto",0.503125,FALSE,0.5
"82","HumScrm","24",TRUE,"DeSoto",0.540625,FALSE,0.5
"83","HumScrm","25",TRUE,"DeSoto",0.478125,FALSE,0.5
"84","HumScrm","26",TRUE,"DeSoto",0.4125,FALSE,0.5
"85","HumScrm","27",TRUE,"DeSoto",0.4875,FALSE,0.5
"86","HumScrm","28",TRUE,"DeSoto",0.509375,FALSE,0.5
"87","HumScrm","29",TRUE,"DeSoto",0.490625,FALSE,0.5
"88","HumScrm","30",TRUE,"DeSoto",0.475,FALSE,0.5
"89","HumScrm","31",TRUE,"DeSoto",0.540625,FALSE,0.5
"90","HumScrm","32",TRUE,"DeSoto",0.48125,FALSE,0.5
"91","HumScrm","33",TRUE,"DeSoto",0.49375,FALSE,0.5
"92","HumScrm","34",TRUE,"DeSoto",0.534375,FALSE,0.5
"93","HumScrm","35",TRUE,"DeSoto",0.496875,FALSE,0.5
"94","HumScrm","36",TRUE,"DeSoto",0.49375,FALSE,0.5
"95","HumScrm","37",TRUE,"DeSoto",0.515625,FALSE,0.5
"96","HumScrm","38",TRUE,"DeSoto",0.509375,FALSE,0.5
"97","HumScrm","39",TRUE,"DeSoto",0.4875,FALSE,0.5
"98","HumScrm","40",TRUE,"DeSoto",0.5,FALSE,0.5
"99","HumScrm","41",TRUE,"DeSoto",0.50625,FALSE,0.5
"100","HumScrm","42",TRUE,"DeSoto",0.5125,FALSE,0.5
"101","HumScrm","43",TRUE,"DeSoto",0.509375,FALSE,0.5
"102","HumScrm","44",TRUE,"DeSoto",0.521875,FALSE,0.5
"103","HumScrm","45",TRUE,"DeSoto",0.515625,FALSE,0.5
"104","HumScrm","46",TRUE,"DeSoto",0.55625,FALSE,0.5
"105","HumScrm","47",TRUE,"DeSoto",0.48125,FALSE,0.5
"106","HumScrm","48",TRUE,"DeSoto",0.496875,FALSE,0.5
"107","HumScrm","49",TRUE,"DeSoto",0.5125,FALSE,0.5
"108","HumScrm","50",TRUE,"DeSoto",0.5125,FALSE,0.5
"109","HumScrm","51",TRUE,"DeSoto",0.48125,FALSE,0.5
"110","HumScrm","52",TRUE,"DeSoto",0.446875,FALSE,0.5
"111","HumScrm","53",TRUE,"DeSoto",0.51875,FALSE,0.5
"112","HumScrm","54",TRUE,"DeSoto",0.571875,FALSE,0.5
"113","HumScrm","55",TRUE,"DeSoto",0.503125,FALSE,0.5
"114","HumScrm","56",TRUE,"DeSoto",0.475,FALSE,0.5
"115","HumScrm","57",TRUE,"DeSoto",0.51875,FALSE,0.5
"116","HumScrm","58",TRUE,"DeSoto",0.503125,FALSE,0.5
"117","HumScrm","59",TRUE,"DeSoto",0.490625,FALSE,0.5
"118","HumScrm","60",TRUE,"DeSoto",0.534375,FALSE,0.5
"119","HumScrm","61",TRUE,"DeSoto",0.7125,FALSE,0.5
"120","HumScrm","62",TRUE,"DeSoto",0.55625,FALSE,0.5
"121","HumScrm","63",TRUE,"DeSoto",0.7125,FALSE,0.5
"122","HumScrm","64",TRUE,"DeSoto",0.5125,FALSE,0.5
"123","HumScrm","65",TRUE,"DeSoto",0.503125,FALSE,0.5
"124","HumScrm","66",TRUE,"DeSoto",0.496875,FALSE,0.5
"125","HumScrm","67",TRUE,"DeSoto",0.5125,FALSE,0.5
"126","HumScrm","68",TRUE,"DeSoto",0.5375,FALSE,0.5
"127","HumScrm","69",TRUE,"DeSoto",0.546875,FALSE,0.5
"128","HumScrm","70",TRUE,"DeSoto",0.490625,FALSE,0.5
"129","HumScrm","71",TRUE,"DeSoto",0.521875,FALSE,0.5
"130","HumScrm","72",TRUE,"DeSoto",0.515625,FALSE,0.5
"131","HumScrm","73",TRUE,"DeSoto",0.475,FALSE,0.5
"132","HumScrm","74",TRUE,"DeSoto",0.571875,FALSE,0.5
"133","HumScrm","75",TRUE,"DeSoto",0.48125,FALSE,0.5
"134","HumScrm","76",TRUE,"DeSoto",0.534375,FALSE,0.5
"135","HumScrm","77",TRUE,"DeSoto",0.48125,FALSE,0.5
"136","Humans","1",TRUE,"DeSoto",0.777777777777778,FALSE,0.5
"137","Humans","3",TRUE,"DeSoto",0.694444444444444,FALSE,0.5
"138","Humans","5",TRUE,"DeSoto",0.833333333333333,FALSE,0.5
"139","Humans","7",TRUE,"DeSoto",0.805555555555556,FALSE,0.5
"140","Humans","9",TRUE,"DeSoto",0.388888888888889,FALSE,0.5
"141","Humans","11",TRUE,"DeSoto",0.611111111111111,FALSE,0.5
"142","Humans","13",TRUE,"DeSoto",0.75,FALSE,0.5
"143","Humans","15",TRUE,"DeSoto",0.583333333333333,FALSE,0.5
"144","Humans","21",TRUE,"DeSoto",0.833333333333333,FALSE,0.5
"145","Humans","23",TRUE,"DeSoto",0.75,FALSE,0.5
"146","Humans","25",TRUE,"DeSoto",0.444444444444444,FALSE,0.5
"147","Humans","27",TRUE,"DeSoto",0.805555555555556,FALSE,0.5
"148","Humans","29",TRUE,"DeSoto",0.444444444444444,FALSE,0.5
"149","Humans","31",TRUE,"DeSoto",0.777777777777778,FALSE,0.5
"150","Humans","33",TRUE,"DeSoto",0.722222222222222,FALSE,0.5
"151","Humans","35",TRUE,"DeSoto",0.833333333333333,FALSE,0.5
"152","Humans","37",TRUE,"DeSoto",0.777777777777778,FALSE,0.5
"153","Humans","41",TRUE,"DeSoto",0.694444444444444,FALSE,0.5
"154","Humans","43",TRUE,"DeSoto",0.805555555555556,FALSE,0.5
"155","FHL","1",TRUE,"DeSoto",0.546847076844524,FALSE,0.5
"156","FHL","2",TRUE,"DeSoto",0.570087058593368,FALSE,0.5
"157","FHL","3",TRUE,"DeSoto",0.525173210161663,FALSE,0.5
"158","RGMDL1","1",TRUE,"DeSoto",0.578175376439327,FALSE,0.5
"159","RGMDL1","2",TRUE,"DeSoto",0.70179584120983,FALSE,0.5
"160","RGMDL1","3",TRUE,"DeSoto",0.582394131377126,FALSE,0.5
"161","RGMDL1","4",TRUE,"DeSoto",0.703342124945873,FALSE,0.5
