source,id,onlyTrainingOptimization,model,performance,adaptModelInTesting,parameter1,value1,parameter2,value2,parameter3,value3
WaspsNew,D139,True,SiemannDelius,0.551368592414519,False,bMinus,1.6476633023796,bPlus,1.61597149165233,e,0.350182130185452
WaspsNew,D187,True,SiemannDelius,0.680120222689611,False,bMinus,1.76390004663384,bPlus,0.005890968207569,e,1.48951179199995
WaspsNew,D201,True,SiemannDelius,0.562524212290746,False,bMinus,1.67093407964231,bPlus,1.67187798809152,e,-0.592073944981118
WaspsNew,D216,True,SiemannDelius,0.651471335098649,False,bMinus,0.20850495060621,bPlus,-1.32732092237112,e,0.919633136010458
WaspsNew,D217,True,SiemannDelius,0.662419281492989,False,bMinus,2.62860161556073,bPlus,1.97934228638347,e,3.17568903784562
WaspsNew,D223,True,SiemannDelius,0.554945853434411,False,bMinus,1.44942424167415,bPlus,1.22133322333325,e,0.594285680650147
HumScrm,1,True,SiemannDelius,0.666259220259932,False,bMinus,0.26880188247338,bPlus,0.335905398257961,e,0.429671547552664
WaspsNew,D229,True,SiemannDelius,0.50682075972669,False,bMinus,2.40609153646217,bPlus,1.16962272984133,e,-0.537090926750684
WaspsNew,D239B,True,SiemannDelius,0.587370788107645,False,bMinus,3.09943419562105,bPlus,2.34915419515576,e,-0.352056352687379
WaspsNew,D257,True,SiemannDelius,0.488599723602265,False,bMinus,1.03280785565866,bPlus,1.53432506823817,e,0.406757676876739
WaspsNew,D67A,True,SiemannDelius,0.624699797491733,False,bMinus,1.66636779422758,bPlus,1.62365523212822,e,0.356664545589419
WaspsNew,D81B,True,SiemannDelius,0.687431532772567,False,bMinus,2.80519796012066,bPlus,1.97610557431772,e,2.56702500303076
HumScrm,2,True,SiemannDelius,0.622732533851101,False,bMinus,1.10068428971372,bPlus,0.349604824401651,e,0.36644548620888
WaspsNew,D92B,True,SiemannDelius,0.504325674401849,False,bMinus,1.47185842847529,bPlus,1.22964544963678,e,0.594004562805976
WaspsNew,D122,True,SiemannDelius,0.812474948220017,False,bMinus,2.02487496890868,bPlus,1.17554320086097,e,2.69592907991106
WaspsNew,D133,True,SiemannDelius,0.837477450423376,False,bMinus,1.88553640742337,bPlus,1.32269234153518,e,2.82351016517758
WaspsNew,D140,True,SiemannDelius,0.908541800639287,False,bMinus,1.41326953994315,bPlus,1.65137408989228,e,2.33781537333716
HumScrm,3,True,SiemannDelius,0.678731067134598,False,bMinus,1.54110151318304,bPlus,0.425740961472692,e,0.234518495207155
WaspsNew,D149,True,SiemannDelius,0.812474948800443,False,bMinus,2.09643077390292,bPlus,1.16913976486488,e,2.67749484673385
WaspsNew,D15,True,SiemannDelius,0.787477461538805,False,bMinus,1.9746827719151,bPlus,1.14306797184121,e,2.48514596277653
WaspsNew,D22,True,SiemannDelius,0.85867929737455,False,bMinus,1.44054449928845,bPlus,1.60471297317553,e,2.33781225754421
WaspsNew,D43,True,SiemannDelius,0.762096006991045,False,bMinus,2.93899967653533,bPlus,2.43796734381513,e,4.32538236416759
HumScrm,4,True,SiemannDelius,0.678116714619888,False,bMinus,0.664312848774357,bPlus,0.325476053102953,e,0.396563906301129
WaspsNew,D45,True,SiemannDelius,0.85867929737455,False,bMinus,1.44054449928845,bPlus,1.60471297317553,e,2.33781225754421
WaspsNew,D50,True,SiemannDelius,0.910666089597379,False,bMinus,1.7399197682488,bPlus,1.47480279592063,e,2.59804253332687
WaspsNew,D55,True,SiemannDelius,0.787474959889588,False,bMinus,2.47093133735087,bPlus,0.808413411293284,e,3.10189518012848
WaspsNew,D71,True,SiemannDelius,0.857017037054746,False,bMinus,1.06314528834645,bPlus,1.73864330051722,e,2.18247891423737
HumScrm,5,True,SiemannDelius,0.639064719107025,False,bMinus,0.731199458027307,bPlus,0.340119242814411,e,0.341595934261857
WaspsNew,M17,True,SiemannDelius,0.637656662972878,False,bMinus,-0.309587137506431,bPlus,-1.18917859245824,e,0.776929464385367
WaspsNew,M21,True,SiemannDelius,0.682527933153212,False,bMinus,1.61768522529314,bPlus,1.52389598783695,e,0.407857557673633
WaspsNew,M22,True,SiemannDelius,0.53020148157985,False,bMinus,1.09407205675928,bPlus,2.4552849960535,e,-0.22094583887838
Camarena,1,True,SiemannDelius,0.770514128221673,False,bMinus,2.53661655990679,bPlus,1.64444609594033,e,2.02869567436509
WaspsNew,M23,True,SiemannDelius,0.628818005292174,False,bMinus,1.61113747131236,bPlus,1.5333222628985,e,0.411588411098581
WaspsNew,M28B,True,SiemannDelius,0.538804238933048,False,bMinus,1.65222431817404,bPlus,1.72281662568034,e,-1.47148331526656
