source,species,id,onlyTrainingOptimization,model,performance,adaptModelInTesting,parameter1,value1,parameter2,value2,parameter3,value3
HumScrm,humans,1,False,CorrectReply,0.5,False,a ,0,,,,
HumScrm,humans,1,True,CorrectReply,0.5,False,a ,0,,,,
HumScrm,humans,2,False,CorrectReply,0.475,False,a ,0,,,,
HumScrm,humans,2,True,CorrectReply,0.475,False,a ,0,,,,
HumScrm,humans,3,False,CorrectReply,0.4875,False,a ,0,,,,
HumScrm,humans,3,True,CorrectReply,0.4875,False,a ,0,,,,
HumScrm,humans,4,True,CorrectReply,0.53125,False,a ,0,,,,
HumScrm,humans,4,False,CorrectReply,0.53125,False,a ,0,,,,
Camarena,pigeons,1,False,CorrectReply,0.778064819163927,False,a ,0,,,,
HumScrm,humans,5,True,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,5,False,CorrectReply,0.49,False,a ,0,,,,
HumScrm,humans,6,True,CorrectReply,0.496875,False,a ,0,,,,
HumScrm,humans,6,False,CorrectReply,0.496875,False,a ,0,,,,
RGMDL3,macaques,1,True,CorrectReply,0.635369188696445,False,a ,0,,,,
RGMDL3,macaques,1,False,CorrectReply,0.695297349709114,False,a ,0,,,,
HumScrm,humans,7,True,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,7,False,CorrectReply,0.509375,False,a ,0,,,,
FHL,macaques,1,False,CorrectReply,0.66353084339605,False,a ,0,,,,
HumScrm,humans,8,True,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,8,False,CorrectReply,0.509375,False,a ,0,,,,
Camarena,pigeons,4,False,CorrectReply,0.759117082533589,False,a ,0,,,,
HumScrm,humans,9,True,CorrectReply,0.5,False,a ,0,,,,
HumScrm,humans,9,False,CorrectReply,0.5,False,a ,0,,,,
HumScrm,humans,10,True,CorrectReply,0.515625,False,a ,0,,,,
HumScrm,humans,10,False,CorrectReply,0.515625,False,a ,0,,,,
HumScrm,humans,11,True,CorrectReply,0.609375,False,a ,0,,,,
HumScrm,humans,11,False,CorrectReply,0.609375,False,a ,0,,,,
Camarena,pigeons,5,False,CorrectReply,0.715631929046563,False,a ,0,,,,
HumScrm,humans,12,True,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,12,False,CorrectReply,0.5125,False,a ,0,,,,
RGMDL3,macaques,2,True,CorrectReply,0.788109020742885,False,a ,0,,,,
HumScrm,humans,13,True,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,13,False,CorrectReply,0.5125,False,a ,0,,,,
RGMDL3,macaques,2,False,CorrectReply,0.813984949691384,False,a ,0,,,,
RGMDL2,macaques,1,False,CorrectReply,0.874496475327291,False,a ,0,,,,
