"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b"
"1","WaspsNew","D139",TRUE,"RescorlaWagnerBS",0.523918914551585,FALSE,1.0170177595085,1.62715908850125
"2","WaspsNew","D187",TRUE,"RescorlaWagnerBS",0.656552298302799,FALSE,1.12437050612273,-2.70615799123962
"3","WaspsNew","D201",TRUE,"RescorlaWagnerBS",0.560767347612486,FALSE,-0.856377411476564,0.314564554171237
"4","WaspsNew","D216",TRUE,"RescorlaWagnerBS",0.496494087656337,FALSE,1.27151632814271,0.529806184747334
"5","WaspsNew","D217",TRUE,"RescorlaWagnerBS",0.612341871387614,FALSE,0.67587464767076,2.19431251624116
"6","WaspsNew","D223",TRUE,"RescorlaWagnerBS",0.532944604555462,FALSE,0.715451861655116,2.14838707395874
"7","WaspsNew","D229",TRUE,"RescorlaWagnerBS",0.520112014453606,FALSE,1.27542827218476,0.835647284429693
"8","WaspsNew","D239B",TRUE,"RescorlaWagnerBS",0.553837958808427,FALSE,-0.945151673804815,0.174833484356323
"9","WaspsNew","D257",TRUE,"RescorlaWagnerBS",0.582191567539091,FALSE,1.10461963207765,-1.33441474972031
"10","WaspsNew","D67A",TRUE,"RescorlaWagnerBS",0.59231462026787,FALSE,0.816868273673085,2.31303649230184
"11","WaspsNew","D81B",TRUE,"RescorlaWagnerBS",0.645486937013982,FALSE,0.757222491496631,2.32150902355598
"12","WaspsNew","D92B",TRUE,"RescorlaWagnerBS",0.513041663552067,FALSE,-0.727415465831249,0.464413749692147
"13","WaspsNew","D122",TRUE,"RescorlaWagnerBS",0.53853263010145,FALSE,2.32115005745091,-0.529422463121802
"14","WaspsNew","D133",TRUE,"RescorlaWagnerBS",0.495170333703376,FALSE,1.28478893818317,0.83830985633949
"15","WaspsNew","D140",TRUE,"RescorlaWagnerBS",0.495859977958185,FALSE,1.29152104612232,0.5554710457983
"16","WaspsNew","D149",TRUE,"RescorlaWagnerBS",0.519285135663051,FALSE,1.32222399570822,0.713582865543998
"17","WaspsNew","D15",TRUE,"RescorlaWagnerBS",0.491582280462597,FALSE,1.32468602341527,1.29636880737138
"18","WaspsNew","D22",TRUE,"RescorlaWagnerBS",0.496339684392795,FALSE,1.27442525948749,0.509493040518742
"19","WaspsNew","D43",TRUE,"RescorlaWagnerBS",0.494289130191585,FALSE,1.32206381105822,0.713664166420459
"20","WaspsNew","D45",TRUE,"RescorlaWagnerBS",0.496339684392795,FALSE,1.27442525948749,0.509493040518742
"21","WaspsNew","D50",TRUE,"RescorlaWagnerBS",0.496837315956639,FALSE,1.26247369787585,0.543816826108779
"22","WaspsNew","D55",TRUE,"RescorlaWagnerBS",0.491218347600591,FALSE,1.45917143140532,0.694728188736137
"23","WaspsNew","D71",TRUE,"RescorlaWagnerBS",0.495269718744235,FALSE,1.27872789235657,0.859561936061433
"24","WaspsNew","M17",TRUE,"RescorlaWagnerBS",0.599256229369334,FALSE,0.786304518235748,-1.86340621960241
"25","WaspsNew","M21",TRUE,"RescorlaWagnerBS",0.625507604457749,FALSE,0.834063615682996,2.04720012975069
"26","WaspsNew","M22",TRUE,"RescorlaWagnerBS",0.526420451041894,FALSE,-0.636246140486277,0.759184718099476
"27","WaspsNew","M23",TRUE,"RescorlaWagnerBS",0.588564304327687,FALSE,0.779423939359377,2.29543915777176
