"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","B"
"1","WaspsNew","D139",TRUE,"RescorlaWagnerWynne95",0.546533811172632,FALSE,3.16864712288382,1.18374005928394
"2","WaspsNew","D187",TRUE,"RescorlaWagnerWynne95",0.659950760771117,FALSE,-2.96728935203458,1.99817038316978
"3","WaspsNew","D201",TRUE,"RescorlaWagnerWynne95",0.596558660359755,FALSE,-2.87778650473911,3.52339129762562
"4","WaspsNew","D216",TRUE,"RescorlaWagnerWynne95",0.637384209657726,FALSE,-4.46428562265985,0.167835820410878
"5","WaspsNew","D217",TRUE,"RescorlaWagnerWynne95",0.672200979156257,FALSE,4.82231909234131,0.997580024352631
"6","WaspsNew","D223",TRUE,"RescorlaWagnerWynne95",0.547629634592766,FALSE,3.56069356793035,1.19969799986831
"7","WaspsNew","D229",TRUE,"RescorlaWagnerWynne95",0.587324029389954,FALSE,-7.14217218515446,3.17671916622311
"8","WaspsNew","D239B",TRUE,"RescorlaWagnerWynne95",0.559169562011548,FALSE,-1.01133764023175,3.49655157948796
"9","WaspsNew","D257",TRUE,"RescorlaWagnerWynne95",0.611990878069106,FALSE,-6.09106010224803,3.15544137932698
"10","WaspsNew","D67A",TRUE,"RescorlaWagnerWynne95",0.623703533662101,FALSE,5.19222063926503,1.13690448750583
"11","WaspsNew","D81B",TRUE,"RescorlaWagnerWynne95",0.697641131081973,FALSE,5.1139828797333,1.2583616617513
"12","WaspsNew","D92B",TRUE,"RescorlaWagnerWynne95",0.50759370323255,FALSE,0.568609102835809,1.77010358852179
"13","WaspsNew","D122",TRUE,"RescorlaWagnerWynne95",0.706791013353211,FALSE,-4.26587472548061,1.18295274681821
"14","WaspsNew","D133",TRUE,"RescorlaWagnerWynne95",0.682441380809658,FALSE,-4.25602863227223,1.166912454798
"15","WaspsNew","D140",TRUE,"RescorlaWagnerWynne95",0.578742145738498,FALSE,-2.87562643298456,1.13642713031111
"16","WaspsNew","D149",TRUE,"RescorlaWagnerWynne95",0.706791003507739,FALSE,-4.26587293837077,1.18295215219054
"17","WaspsNew","D15",TRUE,"RescorlaWagnerWynne95",0.727214813530354,FALSE,-3.78641894541727,1.21778208963556
"18","WaspsNew","D22",TRUE,"RescorlaWagnerWynne95",0.636786579340937,FALSE,-5.95805600796675,0.994382717921969
"19","WaspsNew","D43",TRUE,"RescorlaWagnerWynne95",0.727214814423528,FALSE,-3.78641965608501,1.2177880563734
"20","WaspsNew","D45",TRUE,"RescorlaWagnerWynne95",0.636786579340937,FALSE,-5.95805600796675,0.994382717921969
